instance,family,seed,init,algo,feasible,violation,best_max_avg,best_sum_avg,elapsed_s,error
data/MLE/4,MLE,1,random,tabu,False,719.0,9.0,88.09458847653895,0.20012784004211426,
data/MLE/4,MLE,1,random,ga,False,969.0,9.588235294117647,88.38977457011514,19.121572971343994,
data/MLE/4,MLE,1,greedy_fair,ls,False,371.0,13.785714285714286,94.83343988313028,0.20002007484436035,
data/MLE/4,MLE,1,greedy_fair,sa,False,150.0,13.0,98.30726977872487,0.20003890991210938,
data/MLE/4,MLE,1,greedy_fair,tabu,False,297.0,13.0,94.82286478227654,0.20053505897521973,
data/MLE/4,MLE,1,greedy_fair,ga,False,422.0,15.0,95.86960382239019,19.136186122894287,
data/MLB/1,MLB,1,round_robin,ls,True,0.0,1.95,24.707011849519585,0.20000100135803223,
data/MLB/1,MLB,1,round_robin,sa,True,0.0,1.96,24.697011849519587,0.20000791549682617,
data/MLB/1,MLB,1,round_robin,tabu,True,0.0,1.95,24.757011849519586,0.2008650302886963,
data/MLB/1,MLB,1,round_robin,ga,True,0.0,1.96,24.697011849519587,0.20258474349975586,
data/MLB/1,MLB,1,random,ls,True,0.0,2.0,24.936656882848833,0.2000110149383545,
data/MLB/1,MLB,1,random,sa,True,0.0,2.0,24.936656882848833,0.20000410079956055,
data/MLB/1,MLB,1,random,tabu,True,0.0,2.0,24.936656882848833,0.2000257968902588,
data/MLB/1,MLB,1,random,ga,True,0.0,2.0,24.936656882848833,0.20870494842529297,
data/MLB/1,MLB,1,greedy_fair,ls,True,0.0,2.0,24.24090909090909,0.20001935958862305,
data/MLB/1,MLB,1,greedy_fair,sa,True,0.0,2.0,24.24090909090909,0.2000288963317871,
data/MLB/1,MLB,1,greedy_fair,tabu,True,0.0,2.0,24.24090909090909,0.20044398307800293,
data/MLB/1,MLB,1,greedy_fair,ga,True,0.0,2.0,24.24090909090909,0.20407700538635254,
data/MLB/6,MLB,1,round_robin,ls,True,0.0,1.7391304347826086,20.076211405814988,0.20000529289245605,
data/MLB/6,MLB,1,round_robin,sa,True,0.0,1.4545454545454546,21.114153461627883,0.20000219345092773,
